Age,Gender,Location,Device_Type,Time_Spent,Pages_Visited,Product_Category,Previous_Purchases,Avg_Order_Value,Discount,Purchase
59,Male,Bangalore,Desktop,4.370915771,6,Groceries,0,1509.008436,7.364052934,1
30,Male,Hyderabad,Mobile,9.79978619,8,Groceries,8,1736.315173,4.226013818,1
49,Male,Pune,Desktop,12.5922525,12,Beauty,2,816.5708184,32.51403886,1
56,Male,Bangalore,Mobile,11.65628556,12,Groceries,4,1796.283637,23.15025905,1
49,Male,Delhi,Tablet,7.359671387,8,Groceries,0,200,24.73140084,1
21,Male,Bangalore,Mobile,12.47217841,13,Electronics,1,1185.057724,31.25848355,1
,Male,Hyderabad,Desktop,8.446002372,12,Electronics,7,1255.863079,28.13108911,1
54,Female,Pune,Tablet,6.988742087,9,Groceries,4,7266.653652,,1
40,Female,Pune,Mobile,6.159792009,7,Beauty,5,1511.315426,2.248556218,
56,Male,Hyderabad,Tablet,7.092590941,7,Clothing,1,797.2184731,29.90082547,1
32,Male,Hyderabad,Desktop,6.835469544,9,Beauty,5,1007.503437,,1
46,Female,Delhi,Mobile,8.511248667,12,Clothing,1,,11.4454017,1
53,Male,Pune,Mobile,8.481721943,11,Beauty,2,1460.466329,25.61789096,1
,Male,Bangalore,Desktop,,6,Electronics,1,1210.437945,12.56648255,1
49,Female,Mumbai,Mobile,9.310814509,11,Groceries,4,1259.583105,38.31884266,1
24,Male,Mumbai,Mobile,11.57193882,9,Groceries,3,1848.083999,1.336942897,1
39,Female,Hyderabad,Mobile,10.84866241,10,Electronics,1,1241.153714,23.19171375,1
45,Male,Delhi,Desktop,3.545306095,2,Clothing,3,1455.954378,6.660141882,1
19,Female,Mumbai,Mobile,1,1,Clothing,2,2584.968294,28.48880821,1
59,Female,Pune,Desktop,10.80295973,13,Clothing,,788.1586816,7.035611337,1
23,Female,Hyderabad,Tablet,3.899363905,3,Electronics,1,574.0786342,9.415330476,1
45,,Bangalore,Tablet,7.325703794,7,Clothing,3,1891.794832,19.77483244,1
45,Female,Hyderabad,Desktop,4.489660922,5,Electronics,2,1160.678469,36.593398,1
37,Male,Bangalore,,2.594058687,2,Beauty,3,1340.881236,8.468574886,1
47,Male,Hyderabad,Desktop,9.624388185,8,Beauty,3,1109.421811,5.769600845,1
28,Male,Hyderabad,Mobile,10.27746548,11,Electronics,5,1370.09993,30.35907327,
45,,Hyderabad,Mobile,6.270468798,8,Groceries,6,2299.269056,20.02478129,1
42,Female,Bangalore,Mobile,1,0,,3,1901.064229,36.4714045,1
56,Female,Bangalore,Mobile,6.361266655,5,Clothing,5,1931.111756,5.864582286,1
50,Male,Hyderabad,Desktop,9.175412016,9,Electronics,2,791.8864721,25.83711572,1
18,Male,Mumbai,Desktop,3.563265294,5,Clothing,2,924.4231317,9.315165846,1
44,Female,Delhi,Mobile,8.550079759,10,Clothing,4,200,6.270417146,1
30,Male,Delhi,Mobile,7.954070452,10,Groceries,3,1095.309589,27.33717661,1
58,Female,Delhi,Tablet,9.737874499,10,Clothing,2,1978.351593,23.7473848,
20,Male,Bangalore,Mobile,8.358741105,10,Groceries,1,1758.473258,30.19309833,1
56,Male,Bangalore,Mobile,5.080793177,4,Beauty,5,1389.243369,12.37850306,1
23,Female,Mumbai,Mobile,11.5897145,14,Electronics,,1488.849858,17.91886626,1
25,Male,Delhi,Desktop,7.524411281,10,Clothing,4,1155.557229,16.21886705,1
44,Female,Delhi,Desktop,7.918086381,9,Electronics,1,1602.379441,39.36357856,1
26,Male,Hyderabad,Mobile,5.200196123,7,Clothing,3,1882.93914,11.68995827,1
54,Male,Bangalore,Mobile,6.670153246,8,Electronics,4,692.0566063,11.79268953,1
50,,Delhi,Desktop,,4,Clothing,2,1649.823844,14.18192835,
59,Female,Mumbai,Desktop,7.48116182,10,Clothing,2,1966.217435,22.58376325,1
41,Male,Mumbai,Mobile,13.13512544,11,Clothing,2,1292.449856,10.09290977,1
32,Male,Delhi,Tablet,,4,Clothing,4,1850.350306,36.61159762,1
49,Male,Bangalore,Mobile,3.159315806,2,Clothing,5,2907.327222,10.62742259,
49,Male,Mumbai,Mobile,12.41351098,10,Clothing,2,1447.828604,35.83262926,1
41,Female,Hyderabad,Tablet,7.372028969,8,Clothing,2,1696.653525,,1
58,Female,Mumbai,,5.992781784,6,Clothing,,1130.971458,26.2625081,1
29,Male,Pune,Desktop,11.11971406,12,Clothing,0,,,1
56,Female,Pune,Mobile,6.183153381,7,Electronics,3,,6.749977536,1
19,Male,Bangalore,Mobile,13.47802914,,Groceries,0,1597.42117,38.7330784,1
20,,Delhi,Tablet,10.03377761,8,Clothing,,990.1523401,18.11533442,1
54,Male,Bangalore,,6.536265776,7,Groceries,2,1603.180886,37.82860434,1
34,Female,Bangalore,Desktop,14.47192464,15,Clothing,1,2231.097969,27.07280175,1
19,Female,Bangalore,Mobile,6.182855231,8,Clothing,4,1724.317882,12.06347479,1
19,Female,,Mobile,10.22628612,12,Electronics,5,1980.993595,7.532100997,
45,Female,Hyderabad,Mobile,8.897877741,12,Beauty,1,1381.494015,12.14940185,1
40,Female,Hyderabad,Desktop,11.90522387,15,Beauty,4,1874.95012,3.720696371,1
54,Female,Mumbai,Mobile,12.68453359,13,Electronics,0,1639.633919,5.754718654,1
49,Female,Pune,Desktop,8.096012447,10,Groceries,,1024.544635,4.186417614,1
50,Female,Bangalore,Mobile,5.739746389,5,Beauty,5,,16.91774175,1
18,Female,Mumbai,Tablet,9.379916429,9,Electronics,1,1004.151668,31.82313505,1
36,Male,Pune,Mobile,5.966853891,8,Electronics,5,1183.559863,5.655342169,1
19,Female,Delhi,Desktop,14.04016174,15,Beauty,1,1594.664154,5.212817327,1
43,Female,Hyderabad,Desktop,8.409605993,11,Groceries,4,1648.622137,25.73715798,1
49,Female,Pune,Desktop,6.904035346,9,Electronics,2,905.3837675,7.887319279,1
23,Female,Delhi,Desktop,8.554040918,11,Clothing,1,2026.992886,3.904401524,1
49,Female,Pune,Desktop,3.958621131,5,Groceries,3,1786.003139,,1
21,Female,Hyderabad,Desktop,5.085157884,5,Groceries,3,1147.635782,36.94925584,1
28,Female,Hyderabad,Mobile,11.60124172,11,Beauty,6,731.2076018,32.85885011,1
34,Female,Mumbai,Mobile,6.029317163,7,Beauty,0,1427.54771,,1
55,Female,Bangalore,Tablet,4.859267052,5,Clothing,3,1277.028143,26.23283069,1
41,,Pune,Desktop,9.609958258,11,Electronics,5,1556.570229,21.49102695,1
22,Female,Pune,Desktop,11.55711246,14,Beauty,,1318.441669,27.08497054,1
51,Male,,Mobile,10.15685993,13,Beauty,3,496.2715696,27.3068461,1
23,Male,Hyderabad,Mobile,10.98814306,11,Groceries,4,1305.826531,25.1493606,1
39,Female,Pune,Mobile,5.729614734,5,,2,1347.190444,10.64405474,1
28,Female,,Desktop,3.734568,4,Beauty,3,1816.830512,1.560256831,1
33,Male,,Mobile,12.50400096,11,Beauty,7,1150.900163,,1
50,Female,Mumbai,Mobile,,10,Beauty,1,2339.337337,35.63895539,1
26,Male,Bangalore,Mobile,7.247500951,,Groceries,3,544.1797247,22.77989034,1
23,Male,,Mobile,11.98458243,10,Clothing,3,2155.583749,33.29564167,1
33,Male,Hyderabad,Mobile,9.668690028,7,Clothing,1,1387.840515,39.66497372,1
46,Male,Mumbai,Mobile,9.367663316,11,Electronics,1,1929.792436,,1
20,Male,,Desktop,14.49500703,18,Beauty,2,1539.900742,27.67110557,1
37,Female,Delhi,Mobile,6.069445309,6,Groceries,2,2069.777768,26.97174295,1
53,Male,Bangalore,Mobile,10.78352038,9,Electronics,6,1306.319018,39.19821789,1
36,Female,Pune,Mobile,8.171039375,8,Electronics,1,,39.42402936,1
43,Female,Mumbai,Mobile,8.805776837,8,Clothing,3,2210.252144,27.46714447,1
20,Male,Delhi,,12.58540528,16,Groceries,3,1443.259677,9.744591679,1
36,Male,,Mobile,9.523507269,11,Groceries,4,1610.779237,31.94223353,1
37,Female,Mumbai,Desktop,9.614888237,10,Groceries,2,2117.375957,4.281165368,1
49,Male,Delhi,Mobile,11.21752201,10,Clothing,3,984.022379,31.22797217,1
24,Male,Mumbai,Desktop,6.905141811,10,Clothing,4,1797.745449,36.40784497,1
58,Female,Delhi,Desktop,,6,Clothing,2,1205.052622,15.31333579,1
50,Female,Pune,Desktop,4.865572418,6,Clothing,,1433.915322,25.2254118,1
57,Male,Delhi,Mobile,2.100930232,1,Clothing,2,1536.139483,17.20570928,1
56,Female,Delhi,Mobile,14.16862139,,Beauty,4,749.8890693,17.5106022,1
35,Male,Bangalore,Mobile,4.690374903,3,Beauty,1,1110.581479,12.41483556,1
57,Male,Delhi,Mobile,7.336239129,8,Groceries,3,,30.48518482,1
18,Male,Delhi,Tablet,35.8478005,10,Electronics,5,1943.095594,37.44706257,1
28,Female,Pune,Mobile,8.922220093,9,Groceries,2,1468.680211,37.63003437,1
45,Female,Bangalore,Mobile,10.44721164,8,Electronics,4,1621.561729,6.991251395,1
42,Female,Hyderabad,Desktop,10.58142047,8,Clothing,2,,34.98974599,1
40,Female,Pune,Desktop,6.250767684,6,Electronics,1,2178.291693,29.49725766,1
48,Female,Pune,Mobile,7.498634859,6,Groceries,3,1399.823711,,1
47,Male,Hyderabad,Mobile,8.847739851,7,,4,1615.921046,2.691384517,1
59,Male,Delhi,Mobile,,,Electronics,,2073.015072,10.71989068,1
52,Male,Mumbai,Mobile,12.82203673,14,Beauty,4,1111.314258,36.48832947,1
24,Male,Bangalore,Mobile,9.472924855,9,Clothing,6,2279.394592,25.327147,1
33,Female,Mumbai,Mobile,10.20463336,14,Clothing,4,734.7692951,28.84218644,1
43,Male,Hyderabad,Mobile,9.988643806,8,Groceries,1,2314.821066,10.28609404,1
19,Female,Pune,Mobile,11.52042157,16,Beauty,1,1313.662208,28.77552622,1
18,Male,Pune,Mobile,8.543064676,8,Electronics,7,1378.650626,1.124860251,1
29,Female,Bangalore,Mobile,4.109504156,5,Clothing,4,554.9949144,15.01285383,1
22,Female,Pune,Mobile,9.199063855,11,Beauty,3,1272.602641,25.07013394,1
54,Male,Pune,Desktop,6.045929319,8,Clothing,3,980.0967345,5.843862622,1
49,Male,Bangalore,Desktop,6.414149955,9,Beauty,3,1196.176827,32.92014298,1
,,Bangalore,Mobile,9.759092056,9,Beauty,3,,,1
58,Male,Hyderabad,Mobile,11.71484921,,Groceries,1,1978.895807,26.09124451,1
52,Female,Pune,Mobile,8.06381473,8,Clothing,1,1603.801676,16.2078857,1
36,Male,Pune,Desktop,8.926499038,9,Electronics,3,1653.838327,23.84174382,1
33,Male,,Desktop,13.10664483,13,Groceries,0,952.2403056,4.298022105,1
20,Female,Delhi,Mobile,8.722259538,10,Groceries,3,1059.622955,0.676511997,1
37,Male,Delhi,Tablet,15.80504934,14,Electronics,3,2399.362509,36.3825771,1
41,Male,,Mobile,9.696528937,11,Groceries,,1132.399483,10.78520035,1
50,Male,,Mobile,2.717711723,3,Beauty,2,2328.104126,32.78708011,1
41,Male,Pune,Desktop,10.26002486,13,Beauty,1,1378.469401,39.97401202,1
28,Male,Hyderabad,,9.143475155,12,Clothing,2,1501.143968,8.45725032,1
25,Female,Hyderabad,Desktop,11.86925826,13,Clothing,4,2035.18258,10.60682965,1
53,Male,Delhi,Desktop,10.01954405,10,Electronics,4,2135.946211,26.51439151,1
55,,Mumbai,Mobile,7.584632048,7,Clothing,1,1444.59372,38.61794538,1
57,Male,Pune,,4.327105291,4,Beauty,,5223.513893,36.63257393,1
37,Male,Delhi,Mobile,7.372930228,6,Electronics,3,1472.039776,20.1150208,1
52,Male,Mumbai,Desktop,5.448438637,5,Electronics,2,1668.978764,31.8044113,1
42,Female,Mumbai,Mobile,6.258429651,6,Clothing,2,1945.651843,5.429834124,1
52,Male,Bangalore,Desktop,9.765735213,14,Beauty,3,1502.114929,,1
42,Female,Pune,Mobile,13.00971351,15,Electronics,2,1809.443149,38.57412936,1
46,Female,Mumbai,Desktop,9.184014589,9,Beauty,3,2319.179866,6.549158315,1
35,Male,Delhi,Mobile,4.412350814,5,Beauty,2,1690.654806,11.97692499,1
35,Male,Bangalore,Desktop,9.333808005,8,Beauty,1,1655.826428,4.0061999,1
19,Male,Pune,Mobile,11.58989446,12,,0,740.5445875,10.86870396,1
52,Male,Hyderabad,,6.170651287,7,Groceries,3,200,32.63823158,1
33,,Delhi,Mobile,7.5979485,8,Groceries,4,1694.187865,15.13262429,1
58,Male,Mumbai,Mobile,8.044064584,8,Electronics,4,1452.587884,3.535878686,1
53,Male,Mumbai,Desktop,5.645305061,8,Beauty,3,1242.608663,13.68902099,1
50,Male,Delhi,Mobile,9.944841302,14,Clothing,3,1621.765102,39.25533337,1
21,Male,Mumbai,Tablet,7.637155554,9,Beauty,6,1469.798135,25.18734381,1
50,Male,Bangalore,Mobile,9.258597332,11,Beauty,4,2063.890125,16.64643786,1
31,Male,Pune,Mobile,5.337523467,,Clothing,4,1543.055434,6.66154054,1
38,Female,Bangalore,Desktop,6.687625099,6,Groceries,5,,39.44707189,1
37,Female,Mumbai,Desktop,10.16714407,10,Beauty,1,1995.083119,32.83396037,1
25,Male,Hyderabad,Mobile,6.881500544,5,Beauty,4,,11.2590921,1
24,Male,Pune,Mobile,13.18089155,14,Groceries,2,1763.268342,2.802747829,1
20,Male,Pune,Desktop,6.801091443,8,Clothing,4,,2.265022295,1
34,,Delhi,Mobile,8.674054177,8,Electronics,5,1175.086557,4.81512598,1
50,Male,,Tablet,10.7977725,15,Groceries,2,1542.084115,23.23074334,1
29,Female,Hyderabad,Tablet,3.744902801,5,Electronics,4,1506.414322,37.15053685,1
39,Male,Pune,Desktop,2.717573564,3,Electronics,1,1739.913518,19.86973712,1
39,Male,Hyderabad,Mobile,,4,Groceries,,1365.677123,33.7178193,1
47,Male,Delhi,Desktop,11.78775231,16,Beauty,4,581.8201081,17.83546479,1
55,Male,Delhi,Mobile,6.344425562,5,Electronics,1,1283.613058,28.34334183,1
55,Female,Pune,Mobile,15.67459786,21,Electronics,1,1896.909234,29.27490949,1
25,Female,Bangalore,Mobile,6.307257204,5,Clothing,0,1351.31196,6.958548236,1
44,Male,Mumbai,Mobile,8.55365391,11,Beauty,3,1376.808299,,1
44,Male,Delhi,Desktop,12.62632986,12,Electronics,3,1993.188253,,1
51,Female,Delhi,Desktop,14.01827866,19,Clothing,4,1144.013386,2.827864327,1
38,Female,Bangalore,Desktop,14.18451073,,,2,728.5983909,14.46160751,1
47,Female,Bangalore,Mobile,11.62509869,10,Groceries,3,1419.68444,21.39197865,
50,Female,,Mobile,11.07218758,,Groceries,,1257.913024,39.84897972,1
45,Male,Hyderabad,Mobile,,14,Clothing,2,1016.87684,18.9813425,
50,Female,Mumbai,Tablet,10.33508323,11,Groceries,2,1412.310772,32.64227028,1
22,Male,Mumbai,Mobile,6.346442851,8,Electronics,2,1745.752824,17.2826914,1
36,Female,Pune,Desktop,,6,Beauty,4,1495.355719,31.8556289,1
21,Female,Hyderabad,Mobile,,8,Electronics,1,1653.490536,23.81659206,1
52,Female,Delhi,Mobile,,7,Electronics,4,2406.703849,35.46381766,1
34,Female,Hyderabad,Desktop,6.640315852,,Groceries,3,1328.560569,16.43770209,1
45,Female,Delhi,Mobile,10.08916234,13,Electronics,3,1639.174317,24.17217679,1
47,Male,Bangalore,Desktop,10.86591563,11,Groceries,5,1245.393319,25.20074722,1
,Male,Hyderabad,Tablet,8.265220659,9,Beauty,3,1076.82014,16.69531767,
,Female,Bangalore,Mobile,12.43259024,14,Beauty,1,,,1
52,Female,Mumbai,Mobile,4.574932658,5,Electronics,1,1260.620714,3.742376276,1
58,Male,Mumbai,Mobile,7.419021622,10,Clothing,3,6718.951595,0.666862024,1
54,Female,Pune,Tablet,5.849533038,8,Groceries,5,2674.537893,34.94137057,1
41,Female,Hyderabad,,2.400390149,2,Groceries,4,1141.978282,9.45899649,1
46,Male,Bangalore,Desktop,7.751957942,10,Electronics,2,1291.687347,8.460269971,1
48,Female,Delhi,Desktop,7.634757475,10,Groceries,7,1468.438493,29.44141602,1
52,Female,Mumbai,Desktop,12.54034923,15,Groceries,0,1697.899424,12.80064452,1
50,,Mumbai,Mobile,9.892435054,14,Clothing,4,,20.2417877,1
,Male,Delhi,Desktop,4.927439527,4,,2,2142.047897,6.500442612,
49,Male,Bangalore,Tablet,13.5622777,11,Electronics,3,286.8039647,38.38982886,1
40,Female,Bangalore,Mobile,11.66310109,16,Clothing,1,306.5350649,34.063256,1
50,Male,Hyderabad,Mobile,9.74629311,10,Electronics,3,1252.060914,34.55158492,1
20,Male,Hyderabad,Tablet,7.320547703,10,Beauty,1,2048.650094,16.27094994,1
35,Male,Pune,Mobile,5.12168229,7,,3,717.1759842,30.49444855,1
42,Male,Mumbai,Desktop,6.883379672,5,Beauty,6,200,5.755046216,1
